ABUNADA M;QATAR - P
RODRIGUEZ R;SVIZZERA - D
SALAH-EDDINE;MAROCCO - D
SEOL YW;COREA DEL SUD - D
SIBISI;SUDAFRICA - D
SOUTTAR H;AUSTRALIA - D
VASQUEZ;MESSICO - D
VELAZQUEZ VG;PARAGUAY - D
ZELENY J;REPUBBLICA CECA - D
ABDOUN;QATAR - C
ABDULSALLAM;QATAR - C
ADAMS J;SUDAFRICA - C
ADAMS T;USA - C
AEBISCHER;SVIZZERA - C
AHMED AL;CANADA - C
AL HAJ MADIBO;QATAR - C
AL HAYDOS;QATAR - C
AL MANAI;QATAR - C
ALAJBEGOVIC;BOSNIA - C
ALMIRON M;PARAGUAY - C
ALVAREZ E;MESSICO - C
APPOLLIS;SUDAFRICA - C
ARDA GULER;TURCHIA - C
BASIC I;BOSNIA - C
BELLEGARDE;HAITI - C
BERHALTER;USA - C
BOBADILLA D;PARAGUAY - C
BOUADDI;MAROCCO - C
BOUDIAF;QATAR - C
BURNIC;BOSNIA - C
CALHANOGLU;TURCHIA - C
CASEMIRO;BRASILE - C
CHAVEZ L;MESSICO - C
CHRISTIE;SCOZIA - C
CUBAS;PARAGUAY - C
CURTIS F;SCOZIA - C
DANILO OL;BRASILE - C
DIAZ B;MAROCCO - C
EL AYNAOUI;MAROCCO - C
EL KHANNOUSS;MAROCCO - C
EL MOURABET S;MAROCCO - C
ENCISO;PARAGUAY - C
EUSTAQUIO;CANADA - C
FABINHO;BRASILE - C
FERGUSON;SCOZIA - C
FIDALGO;MESSICO - C
FREULER;SVIZZERA - C
GIGOVIC A;BOSNIA - C
GOMEZ D;PARAGUAY - C
GUIMARAES;BRASILE - C
HWANG IN-BEOM;COREA DEL SUD - C
IRANKUNDA N;AUSTRALIA - C
IRVINE J;AUSTRALIA - C
JASHARI A;SVIZZERA - C
JEAN-JACQUES;HAITI - C
JOSEPH JR;HAITI - C
KAKU RG;PARAGUAY - C
KIM JG;COREA DEL SUD - C
KOKCU;TURCHIA - C
KONE IS;CANADA - C
LAYE;QATAR - C
LEE;COREA DEL SUD - C
LEE J;COREA DEL SUD - C
LIRA E;MESSICO - C
LUKIC L;BOSNIA - C
MANZAMBI J;SVIZZERA - C
MAURICIO;PARAGUAY - C
MBATHA;SUDAFRICA - C
MCGINN;SCOZIA - C
MCKENNIE;USA - C
MCLEAN;SCOZIA - C
MCTOMINAY;SCOZIA - C
MEMIC;BOSNIA - C
METCALFE C;AUSTRALIA - C
MOKOENA;SUDAFRICA - C
MORA G;MESSICO - C
NDOYE;SVIZZERA - C
O'NEILL;AUSTRALIA - C
OKON-ENGSTLER;AUSTRALIA - C
OSORIO;CANADA - C
OZCAN;TURCHIA - C
PAIK;COREA DEL SUD - C
PAQUETA;BRASILE - C
PARK JS;COREA DEL SUD - C
PROVOD;REPUBBLICA CECA - C
PULISIC;USA - C
REYNA;USA - C
RICHARDS C;USA - C
RIEDER;SVIZZERA - C
SADILEK;REPUBBLICA CECA - C
SAIBARI BEB;MAROCCO - C
SHAFFELBURG;CANADA - C
SITHOLE;SUDAFRICA - C
SOJKA A;REPUBBLICA CECA - C
SOSA R;PARAGUAY - C
SOUCEK;REPUBBLICA CECA - C
SULC;REPUBBLICA CECA - C
SUNJIC;BOSNIA - C
TAHIROVIC;BOSNIA - C
TALBI C;MAROCCO - C
TILLMAN;USA - C
VARGAS R;SVIZZERA - C
WEAH;USA - C
XHAKA;SVIZZERA - C
YUKSEK;TURCHIA - C
ZAKARIA;SVIZZERA - C
ZWANE;SUDAFRICA - C
ABDELMOTAAL;QATAR - A
ABDURISAG Y;QATAR - A
ADAMS CH;SCOZIA - A
AFIF;QATAR - A
AKGUN;TURCHIA - A
AKTURKOGLU;TURCHIA - A
ALVARADO R;MESSICO - A
AMAIMOUNI;MAROCCO - A
AMDOUNI;SVIZZERA - A
ARCE A;PARAGUAY - A
BAJRAKTAREVIC E;BOSNIA - A
BALOGUN;USA - A
BAZDAR;BOSNIA - A
BEN DOAK;SCOZIA - A
CASIMIR;HAITI - A
CHORY;REPUBBLICA CECA - A
CHYTIL;REPUBBLICA CECA - A
CUNHA;BRASILE - A
DA SILVA;QATAR - A
DAVID;CANADA - A
DAVID P;CANADA - A
DEEDSON;HAITI - A
DEMIROVIC;BOSNIA - A
DYKES;SCOZIA - A
EMBOLO;SVIZZERA - A
EOM;COREA DEL SUD - A
FORTUNE;HAITI - A
FOSTER;SUDAFRICA - A
GONZALEZ A;MESSICO - A
GUL;TURCHIA - A
GUTIERREZ;MESSICO - A
HLOZEK;REPUBBLICA CECA - A
HWANG;COREA DEL SUD - A
ISIDOR W;HAITI - A
LARIN;CANADA - A
LUIZ HENRIQUE;BRASILE - A
MAKGOPA;SUDAFRICA - A
MILLAR;CANADA - A
OH HG;COREA DEL SUD - A
OLUWASEYI;CANADA - A
PEPI;USA - A
PIERROT;HAITI - A
PROVIDENCE;HAITI - A
QUINONES J;MESSICO - A
RAHIMI;MAROCCO - A
RAPHINA DB;BRASILE - A
RAUL J;MESSICO - A
RAYNERS;SUDAFRICA - A
SANABRIA;PARAGUAY - A
SCHICK;REPUBBLICA CECA - A
SHANKLAND;SCOZIA - A
SON;COREA DEL SUD - A
THIAGO I;BRASILE - A
TOURE;AUSTRALIA - A
VEGA ROJAS;MESSICO - A
VELUPILLAY;AUSTRALIA - A
VINICIUS;BRASILE - A
YENGI;AUSTRALIA - A
YILDIZ;TURCHIA - A
YILMAZ BA;TURCHIA - A
AGUIRRE J;MESSICO -
ALFARO;PARAGUAY -
ANCELOTTI;BRASILE -
BARBAREZ;BOSNIA -
BROOS;SUDAFRICA -
CLARKE;SCOZIA -
KOUBEK;REPUBBLICA CECA -
LOPETEGUI;QATAR -
MARSCH;CANADA -
MIGNE;HAITI -
MONTELLA;TURCHIA -
MYUNG-BO;COREA DEL SUD -
OUAHBI;MAROCCO -
POCHETTINO;USA -
POPOVIC;AUSTRALIA -
YAKIN M;SVIZZERA -
BALOGUN;USA
METCALFE C;AUSTRALIA
SAIBARI BEB;MAROCCO
IRANKUNDA N;AUSTRALIA
MCGINN;SCOZIA
COUFAL;REPUBBLICA CECA
GUIMARAES;BRASILE
PULISIC;USA
MESSICO;
SCOZIA;
COREA DEL SUD;
BOSNIA;
SVIZZERA;
MAROCCO;
REPUBBLICA CECA;
TURCHIA;
SUDAFRICA;
PARAGUAY;
QATAR;
BOSNIA;
SVIZZERA;
CANADA;
SCOZIA;
MAROCCO;
BRASILE;
HAITI;
USA;
AUSTRALIA;
TURCHIA;
PARAGUAY;
